type,blockTime,delegator,id,indexer,logIndex,tokens
stakeDelegatedWithdrawns,1612303733,0x6273540b8160b2d923652552fade0da98bb10dc5,0x125a3dd615cb6d82bbde432563cf759e6d3bc54bbd237f4b64b3e4b3d644574c-146,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,146,7978038627691468854982
stakeDelegatedWithdrawns,1612335947,0x57def36b14d04c5ef684d17b5d4fb527c3080808,0x1faacf25644c73dd467e9a5625313ec53620d820f52ebc037ff003de3088d93a-269,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,269,10000611348877257617368
stakeDelegatedWithdrawns,1612386291,0xf9d219a44f9cf2f40082ecdac60d508a34758bc4,0x1d09f087fbd066c61ca4d28f240f8fac8c7e418259db84e8ca547ba656b683e0-216,0x5a8904be09625965d9aec4bffd30d853438a053e,216,2990004657473083213205
stakeDelegatedWithdrawns,1612390980,0x66665cdf746e129394cef5f829dadea0f2d87c05,0x210385bbd344d70fde13a40806bc9a6b57cc061397562e72d1bd398ed8461bf7-139,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,139,979359388666378454682321
stakeDelegatedWithdrawns,1612411576,0xea66bae43b694f996af80b3d4a75a7ce06d180e8,0x078efd8bcff05984ffc89c14ffea2ca1e2fe368a390a25a80a6e3c5df2ebb0b1-306,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,306,1347306522266106614793
stakeDelegatedWithdrawns,1612510969,0x38ff5e822bef345d52376dc52f7d89e55dbc5ea1,0x1d8aeb1ec173a23ad9c8030e81e9aed15b8ad7039c73f6a1b6d5288fe0b42769-208,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,208,5016814088566711290520
stakeDelegatedWithdrawns,1612518458,0xe3da94515606f2c13966a4b83bd3ae4a7e129bcd,0x1f468f6ce8b608f464f5d4d9399847b9444472bfce4784577bca554f2882c1ec-114,0x4fedde33607cfda2c82a999accb427d1170987d9,114,20285732628205608421818
stakeDelegatedWithdrawns,1612520717,0x50fcb5bf7b7df68b26dd0b83b164a9edc92f945f,0x00de95d6ce8155645aa7c7554c79ae7d572181dedd5607d9a35f4942bb813180-259,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,259,20067256354266845162084
stakeDelegatedWithdrawns,1612578942,0xe6cbdf9ac8d24206a7edf4f64bdce22afd2da524,0x12d505c4327c24fcd6b0098ad9bff2000d5aa4c7cfe1afa0f5d453ba2b955c6d-161,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,161,757878669095575276039
stakeDelegatedWithdrawns,1612605671,0xe8adaea0ba507a28d1309051beceb4db7fe377af,0x17f2d376dc71e6eb8dbc95ab93335ee2ff8c48b1bec8d16f96b5134f494338ef-209,0x5a8904be09625965d9aec4bffd30d853438a053e,209,3062710972900053097981
stakeDelegatedWithdrawns,1612607338,0x57099da19e52784823c0aab1e8d8124e964c4282,0x07a3e477dd57c4234bc4ac19d094cebf0d17b8b4811e9615e7563541f64e948e-262,0xbe9d7c691792937ca7e2535652886ff390cc5b86,262,18268200000000000000002
stakeDelegatedWithdrawns,1612622632,0x50dbe761717c1e5b016ec184044bc1c3496b73b1,0x1de1157dc1ef3cd55c5a0a008ee820aa713ae5e4ddcd8df6432184ae6dd713f5-154,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,154,3794398257220488460122
stakeDelegatedWithdrawns,1612652506,0x424b8722b214174ccdcc92c85b376673c46b8689,0x113bf142b4c9df9f89ef53a5d5107bcc0ea0ed4d355980950b874d406a52f7f8-317,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,317,1613520194029981872263
stakeDelegatedWithdrawns,1612653258,0xc28f85d6a2cd2252dac06f3db42a17033c4e7791,0x0664a084f200ac79563b9468ae01e3673294aa4cb5295e6d02bf127dde7f15b0-88,0x19fbac0891042be71ce60321a17720358575f580,88,799104478516993144854
stakeDelegatedWithdrawns,1612653258,0xc28f85d6a2cd2252dac06f3db42a17033c4e7791,0x24d6858d2d9d0a557384972658cb8a2f22c625f0515b95bf14fd79cc67b44dd5-90,0x79c813f6b6a84b4ab7258db617612f06bde25498,90,1093475831749679123179
stakeDelegatedWithdrawns,1612653567,0x63ff71a37d0c732e2b8e1777e38d79c1307bfa9e,0x06b0d4f3e7ee664413639b287e9090fda332d9d9d3add23e302d227175ac2593-262,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,262,40369522314837031787166
stakeDelegatedWithdrawns,1612678117,0xa522b71ffeb8ee984a96aa8f10766e1369a01f95,0x364906f0be5b96482dc6f5f734f935f7f59b4b8df583807238f4c152f2b32274-306,0x5a8904be09625965d9aec4bffd30d853438a053e,306,393898332735767994275
stakeDelegatedWithdrawns,1612726249,0xf0a8d7abcc0df2ee4a68c64e3e3e6620a8717884,0x348faf0276289140e3dc4ca0fac62cf8d2526ab3958f5828aa700260bf9418a9-51,0x720a98087160bfdb282f695abe6f9ac966b03d43,51,3878218677843987523500
stakeDelegatedWithdrawns,1612741472,0x5a34f25040ba6e12daea0512d4d2a0043ecc9292,0x294ab5c5293e4ada98e7c2effebf4db031bbdcc3b5b063300b2e2bec80fdef45-300,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,300,14943088215759242898806
stakeDelegatedWithdrawns,1612741954,0x08d1e20be4dec06163275acd772be34c8f7075f3,0x02d26c2afe560f1aa3ea70ea70a29612977ab95c5eea6e7305bc724fcc564f3e-145,0x19fbac0891042be71ce60321a17720358575f580,145,1426151354150279525163
stakeDelegatedWithdrawns,1612748275,0xd65bf2af940035e571285504386514d4dd88353b,0x16a5203ce2501275d98fc894ad1ae2f9bdbca4248dd8fe7221aadb9a3be1fb57-273,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,273,5021045296814616349887
stakeDelegatedWithdrawns,1612754978,0x52d4d46e28dc72b1cef2cb8eb5ec75dd12bc4df3,0x0a8d2d1786bc182505234458ebf93eb028e83a2190051eaa98c16c4610ffa882-81,0xd9c7cdf09d868467d9f94f885dd68e850e278118,81,1078098467975969769578
stakeDelegatedWithdrawns,1612764725,0x5ffd5cec88490d984d3f83496592b65c1225871c,0x1411020812dd4d07a06e25aceafd5b1954e4fe3069032f3e7d2e77390440d0ea-268,0x5a8904be09625965d9aec4bffd30d853438a053e,268,2012360134682793668835
stakeDelegatedWithdrawns,1612764922,0x5ffd5cec88490d984d3f83496592b65c1225871c,0x242c032735afe40cd2049a3d9ad85bfde16e8a8aa8746a8f1a81198e64bc10db-255,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,255,5013875011916242471915
stakeDelegatedWithdrawns,1612766629,0xe4c6a7d37d3e17e483e358e28aae6c63458fa8e4,0x1a18cc7653aecb4578a6551d2e63b3d419b816bd6b2e6822d6d3ca152eff2930-112,0x27ca9cf008a217e828b4b39945034ff8450730d1,112,66375642756500000000
stakeDelegatedWithdrawns,1612829446,0x76fbd3f8d609343f6a6ea32a29d6696e2ceccddb,0x0278d5d0ecf928e30c2e4875efb2d3513cfd1c1f7b855d8ad38f395e663cdb4a-232,0x5a8904be09625965d9aec4bffd30d853438a053e,232,8151290743765276133126
stakeDelegatedWithdrawns,1612861202,0x5bb96c35a68cba037d0f261c67477416db137f03,0x0513f2fead9d470057fc75244186878e4f11c0b31f3dcd7ece91ec52308de00e-274,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,274,10051536544777737344219
stakeDelegatedWithdrawns,1612918295,0xbc0e3a344a28ad0ac07e5838af6ecfe8b026e1e1,0x36551b6469f87d458c94d22abb56d4dbff6647424325242cd4751d8dea723e18-245,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,245,10082952760246771502262
stakeDelegatedWithdrawns,1612925562,0x5f3d68b286ba3212cbb1ebf030cef1e5736771a3,0x1636ef0d7e2c466d0e0f00787ff7b7547275077e09858ff3008f0f45885ad55a-174,0x5a8904be09625965d9aec4bffd30d853438a053e,174,37753483999999999999999
stakeDelegatedWithdrawns,1612936694,0x6b3d634598ac3956e5b9acb11baed5755510b5fd,0x3176dbe518bf5118330513f3189de2ad838e0decab96364494a3de1f0895bfb8-161,0x45874192929530cd4e3dd0624df05bee3c13974f,161,1167122827913383310923
stakeDelegatedWithdrawns,1613046224,0xe816c2932724655782a81009cab64bc45446afb0,0x00f30c6673c00e8e90a9e7780985307ab1d0b215918bcbd5c5ba05303bbb8d0e-170,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,170,71809622071768410316057
stakeDelegatedWithdrawns,1613060186,0x4ace5811e9d0f282d7e7f2f1a4ed53020646ef99,0x0be415e89f9c7edb66bcf6fee6e9be456a1ed7be2647705be5c143518f976747-99,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,99,1000000000000000000207
stakeDelegatedWithdrawns,1613094606,0x2416f8e669e667f276474c3c052e613eb1d17e8c,0x06ea95745d0b6fb21859c3bea7948566b790bdb0ea600d2c79ea4dcfe3147e57-148,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,148,9989743527234837731458
stakeDelegatedWithdrawns,1613099628,0x08d0a7c724c4fb01f6a36f2612d61ad9979ac5d3,0x2cf80e5712a67cd9387267b475fddef5e979a0dfdbbec2ff46d574a6c27cae9a-330,0x5a8904be09625965d9aec4bffd30d853438a053e,330,103436086190479649999999
stakeDelegatedWithdrawns,1613114462,0xae48ec9718e887f52758cd1dee1236b98cdfba93,0x23e28540509446dc8a064a0362423f381f6f49b3725a7ab10d036baaf7ab9527-87,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,87,8432921922465571684999
stakeDelegatedWithdrawns,1613118466,0xacd403d685424b20cf0971348ed823833915b56c,0x0ed3b6c4da5d07e3cba43032975a196703b26bb0b7457a7befd1e0142d3f03e9-183,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,183,7025235434943287087090
stakeDelegatedWithdrawns,1613118709,0x9e2f2cc13c56d3b40f524af47da3404a352e23e4,0x3921bc154537db094733ebe47bcc03ba784598c27f26cd15c8ede7aaf75823f0-297,0x720a98087160bfdb282f695abe6f9ac966b03d43,297,2433604788956326528604
stakeDelegatedWithdrawns,1613152375,0x2799351f8820b9535fdbbcda38b693907b3a5621,0x30ada0c7bd64c1794a05cacfafec022119bc1d9ee064fa53d074e7a6e1ec4868-247,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,247,5538355663115968161446
stakeDelegatedWithdrawns,1613190875,0x40cf32c6c2b3031be6836beac16feea18dc1c886,0x227e3df904ce65fd40900c2dc1883570a8a4d6107223c885c51b9f05ecb80c15-83,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,83,520678715544411195999
stakeDelegatedWithdrawns,1613226468,0x6b3d634598ac3956e5b9acb11baed5755510b5fd,0x01c7fa082548cc008f8a6cf13582d69489a4ca07f022e66a76bb6e735248f718-180,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,180,3940286186225078185697
stakeDelegatedWithdrawns,1613231550,0xf6b76a8d41ffb8460fab76bcb7e814ab775baff6,0x09da252312368a507b4596c27e8fc287950b111f9574b9189c9632b071afa98c-309,0x5a8904be09625965d9aec4bffd30d853438a053e,309,5000000000000000003292
stakeDelegatedWithdrawns,1613272747,0x934c80e3a3e9136ee3558950385b66ac5e7d9bf7,0x2adf7da47af81ff55b46e239d9d165d9264a4880e721ca7222f9a4d7ca5d54cf-199,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,199,213025565552921271514
stakeDelegatedWithdrawns,1613276280,0xebc391ba182f6d8654a516a44e382cf9c9196831,0x0153ca944efe42d9774bdf10720fff254ccfbfe7f5002771a178c35021c12d28-207,0x48b5687f0595e2a4d581dc72305fbae214345d07,207,4739754437556449692757
stakeDelegatedWithdrawns,1613276425,0xebc391ba182f6d8654a516a44e382cf9c9196831,0x0d06db3997f26e3970f409ef563d6690f8b3dcda99702e4b12025c692eb26e75-53,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,53,3739199744695873523712
