type,blockNumber,delegator,id,indexer,logIndex,shares,tokens
stakeDelegates,11712794,0x67aa135dea604ab5b959db54f108ad8a2c9475a9,0x009d5f685c29635944bd80c03955afbb928d0773849a30f245f44c760ad90cde-96,0xbe9d7c691792937ca7e2535652886ff390cc5b86,96,166579176190306034568976,310771663350000000000000
stakeDelegates,11715079,0x99c3986e557f981bd84c53b01fe499a65adaa71a,0x01d747142cd760a0bef144b33e2ac0d28639b764e6d87202907003cd52322a0a-255,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,255,815781283405868114977,2168423400000000000000
stakeDelegates,11720764,0x86da260db236c33133a44f96af9ac9beca069034,0x00b5ddf6c852c4ff220856fcb8c465b8a981183415ca1ad452ae657f75756f1d-265,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,265,58488572430329077096372,155468128125000000000000
stakeDelegates,11720764,0x86da260db236c33133a44f96af9ac9beca069034,0x00b5ddf6c852c4ff220856fcb8c465b8a981183415ca1ad452ae657f75756f1d-265,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,265,58488572430329077096372,155468128125000000000000
stakeDelegates,11723454,0xe2b59f6abdc750a3795f510a81d3d078fd19a5ce,0x01ae45a3c65f2a8f9a6d6145ba21b93c720b785a150cc1103476717f865d05c3-360,0xbb784d9b398271b7a64f975bebde869409691915,360,27876179049185687957002,61876065000000000000000
stakeDelegates,11727587,0x03d44a197e88e131a23b9472c8e9372a2b415019,0x013892841642883053d53b827a8b908bd25e1521ef6a2b5dd3853471f1684ce6-86,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,86,94558385732306145188341,99500000000000000000000
stakeDelegates,11727587,0x03d44a197e88e131a23b9472c8e9372a2b415019,0x013892841642883053d53b827a8b908bd25e1521ef6a2b5dd3853471f1684ce6-86,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,86,94558385732306145188341,99500000000000000000000
stakeDelegates,11729210,0x385c4e722de11c64bbb2cf074ff7e29c3e7cbb27,0x00f0225cdc6d067794cfc4a5bf6693f8b12505f60405e85b7bcbe92733c3a0cf-301,0x720a98087160bfdb282f695abe6f9ac966b03d43,301,61664032654573325805692,62187500000000000000000
stakeDelegates,11729210,0x385c4e722de11c64bbb2cf074ff7e29c3e7cbb27,0x00f0225cdc6d067794cfc4a5bf6693f8b12505f60405e85b7bcbe92733c3a0cf-301,0x720a98087160bfdb282f695abe6f9ac966b03d43,301,61664032654573325805692,62187500000000000000000
stakeDelegates,11732774,0xf0c873bffac68a5d6749f251dea06fcbe634d821,0x014573decf6d74219685ccf3a1876c43c2210a6f35db5d2f27c5c5294e2d7b21-283,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,283,28437115081909031638400,29186663350000000000000
stakeDelegates,11732774,0xf0c873bffac68a5d6749f251dea06fcbe634d821,0x014573decf6d74219685ccf3a1876c43c2210a6f35db5d2f27c5c5294e2d7b21-283,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,283,28437115081909031638400,29186663350000000000000
stakeDelegates,11747900,0x88cd037eda1808449e59a27e161dd667c05ad91a,0x0015fb60ff54e7bdf0aca680b8067574601f4faa32f22f4cf28fe8ab22ede5bf-225,0x5a8904be09625965d9aec4bffd30d853438a053e,225,39140670779868335589844,40165165000000000000000
stakeDelegates,11747900,0x88cd037eda1808449e59a27e161dd667c05ad91a,0x0015fb60ff54e7bdf0aca680b8067574601f4faa32f22f4cf28fe8ab22ede5bf-225,0x5a8904be09625965d9aec4bffd30d853438a053e,225,39140670779868335589844,40165165000000000000000
stakeDelegates,11751683,0xb8410ecf5b8697aea47738cd23d1bdca61e1707e,0x00d0286b1826838d7ab5678f5964db5a9a65b1dc4b23815e9e2f75303c9a8b59-290,0x5a8904be09625965d9aec4bffd30d853438a053e,290,1368012981663524536161,1403820272771581525886
stakeDelegates,11751683,0xb8410ecf5b8697aea47738cd23d1bdca61e1707e,0x00d0286b1826838d7ab5678f5964db5a9a65b1dc4b23815e9e2f75303c9a8b59-290,0x5a8904be09625965d9aec4bffd30d853438a053e,290,1368012981663524536161,1403820272771581525886
stakeDelegates,11751822,0x1d79706378ea91067fa574b30ea139b00000d15d,0x001ca28d2d78bad9e3f31d95d487943c5cf30c585480ac5a9a901217ae5e7dc4-155,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,155,117634053646621697101216,124375000000000000000000
stakeDelegates,11751822,0x1d79706378ea91067fa574b30ea139b00000d15d,0x001ca28d2d78bad9e3f31d95d487943c5cf30c585480ac5a9a901217ae5e7dc4-155,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,155,117634053646621697101216,124375000000000000000000
