id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0xdc728af33b6fedeea2989f303c131e327023cc79c9a5f72e8d1ed01120940763-131,131,12112433,0xd22c1c1a1fc452e3312489f1e89676e93c3323f0,180000,180000,delegationParametersUpdateds
0x5337dd5551e51cdf5b2ec9f7234539eb67a0919e47870617b72f9571c5018155-165,165,12112444,0x696569606ed7e07a3a5f0720f2ece96a79135762,177000,177000,delegationParametersUpdateds
0x4a63d0490b08c5cf7e395fca50c914a57e12d220a6b2cf99beb583dcfaf9e790-286,286,12114909,0xce9df315e4780fed7894bcbcbfe2e34f0f804df1,650000,650000,delegationParametersUpdateds
0x17b8467ee0a3fe430d28cd23476d5a1d30333b14bea79830390e878b631c83e1-175,175,12120380,0x19fbac0891042be71ce60321a17720358575f580,205400,205400,delegationParametersUpdateds
0x32c712f29ef88ec7f1c776111e5af5921759e07e14fabe6746acd540bda2b355-160,160,12120414,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,791400,791400,delegationParametersUpdateds
0x99fecaa6ca0c30feaff6f12598e4f18b3f3443fe04cc3babebd78c3ca152624d-0,0,12124346,0x8f9793029b66325b70fffbfdf2b04d8491682466,720000,720000,delegationParametersUpdateds
0x2a6dc74b93c673de499c8b6c162e9dbc9178994a96c22ca43cff4e889f8955fb-96,96,12125523,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,316600,286800,delegationParametersUpdateds
0xae1e221dd22ab2955d15685d0fd878b609b704d39a0ff9f948f10da0ff685f3c-246,246,12132837,0x19755b22a68bb72e649f8faafdbb549ed3ea75d2,1000000,1000000,delegationParametersUpdateds
0x25091a53f9054ce0bd7ed5df3149d1aa49fa29ca3702b62ed190cba11b2c9f82-272,272,12134673,0xf4a097ce3a4efbd1748b2ef2076813961e4e6fa7,219873,219873,delegationParametersUpdateds
0xa7d8026cca0550b202941739484f09fdc9f748e318acbc57e11971db29398262-184,184,12135859,0x5a8904be09625965d9aec4bffd30d853438a053e,134505,134505,delegationParametersUpdateds
