id,blockNumber,logIndex,indexer,delegator,tokens,type
0x26eeca08c1ef3cc0c329e8c174bea1c4bd9410156ff20a70b1c6d30e13fcc2b0-581,13003564,581,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,0x8d6c22a4aced0b33a5ee85714ca8df17403c722a,26424968723096793979794,stakeDelegatedWithdrawns
0xdc3b0e58a77e62630dc892358cadd80dcd91278c812b7f71f67e24625161b8b3-396,13003571,396,0xce9df315e4780fed7894bcbcbfe2e34f0f804df1,0x397e4922317be1aa463de4233b676d1eadf40765,2487499999999999999999,stakeDelegatedWithdrawns
0x95a53370664221aadef23def5f092094b1e61e4af85dd85154f75e11fc14553f-319,13003659,319,0x1741aa86897ec6c66ff4522c0b0646962bc86d6e,0x1741aa86897ec6c66ff4522c0b0646962bc86d6e,45927210000000000000000,stakeDelegatedWithdrawns
0x97a9e0ba13f597f141e6e04a33c917a3080c7d729d61a5248cbe0b43efb59648-487,13004132,487,0x5a8904be09625965d9aec4bffd30d853438a053e,0x286686d774e031106ea5768ef5249267faba267c,1219757983726489158811,stakeDelegatedWithdrawns
0x37f60f64c918f2055aae9595f4497f9f3a7280356ab99211e6c339a6d2368e3d-305,13004280,305,0x85fe868adf7f5950b052469075556fb207e5372d,0xa358531e74a5a2b22250aa355b7c88d052a2db99,10184922837272581230049,stakeDelegatedWithdrawns
0xdee871b1b2f252bc022465585215696c3f4ca574a0547cd24ad5f1ec5dc8771d-370,13004311,370,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,0x2be9dd83cf54d2d0b81e2e7efbb78e8e2b78700e,9410517514474182818297,stakeDelegatedWithdrawns
0xca90b179ba3902c80ff03b517d814382799f7b3436462f6c932aa5d2d83dcc68-141,13005516,141,0x4b1c684dc4ad3c77cbaae5f16051c269b79116d2,0xaa1b0e21b455d54b3bc09aff398c02266c482832,4248470098758252125208,stakeDelegatedWithdrawns
0x866cb2c2becc9ed9c2d8a8ba53265682677b61a9c2138cb508176c52bd18b2e7-227,13005530,227,0x696569606ed7e07a3a5f0720f2ece96a79135762,0xaa1b0e21b455d54b3bc09aff398c02266c482832,1571236208054150598111,stakeDelegatedWithdrawns
0xc6cb225e3983ea834533b291e43a6e456c7a46856cfdb399faea444c13af6bd3-296,13005555,296,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0xaa1b0e21b455d54b3bc09aff398c02266c482832,3488174465358538338903,stakeDelegatedWithdrawns
0xfdce5ee56cee54c2f35c20932db9174be02ad24e361d6aa0c6664cb27f722ed0-92,13005566,92,0x7b8f93130b7c610fb102f1e82e23ad978ed81702,0xaa1b0e21b455d54b3bc09aff398c02266c482832,983991245022760044454,stakeDelegatedWithdrawns
0x5251c5052f0e40cab97894d4ef424efa34acbd61cc22f4fde0ef7acf1aa33992-173,13007993,173,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x1de5366615bceb1bdb7274536bf3fc9f06aa9c2c,183907344620905630280906,stakeDelegatedWithdrawns
0x7726cd2bd3c8d33c782334c3afe598b46b5a4276b4da959d50f5c0b2620cb604-295,13008378,295,0x5a8904be09625965d9aec4bffd30d853438a053e,0xc28466bbd0f2f519829feaeba61470a381c5d07b,23987734486898022353924,stakeDelegatedWithdrawns
0xda06ad3db8c247ee5bfd37d8d50b03119846dff2462ce2e218fa96d479cea071-308,13008789,308,0x5a8904be09625965d9aec4bffd30d853438a053e,0x99d61299f58d787dec112ee095b7c20b1ba24735,874391702531188818285,stakeDelegatedWithdrawns
0xfeb0114f83adb81eb719f53c0e0eb8ae207199f0e87cfb904d521b441a235dad-42,13009176,42,0x39839abed87475422c5353256d17e08395c3af6b,0x4202c07373cc8ac44ec21718c86367877be3b61f,48678483489734140467825,stakeDelegatedWithdrawns
0x3aa234be992761673302786ce3cc99935a6e5f190e0605db4e7740e541dceff5-420,13009261,420,0x5a8904be09625965d9aec4bffd30d853438a053e,0x0e87e162ca440a1bc68f3e9ff6cba6f71c14e206,1110895980959658912700,stakeDelegatedWithdrawns
0x18bc029475ba75cd3032a8f341449226a6bf94b93c55814c78a87508cd521916-524,13009282,524,0x720a98087160bfdb282f695abe6f9ac966b03d43,0x62e16eec5b898e69b1990012ee151458fd250eed,118148420978433022255659,stakeDelegatedWithdrawns
0x065e4431ae604658edc65f10bf39201b01dbbe04816fb11739a7bec0feb84347-393,13009646,393,0x5a8904be09625965d9aec4bffd30d853438a053e,0xbfb8547fb8abfd41ecfb133975fd74a2a77116bb,34627421325250232754462,stakeDelegatedWithdrawns
0xa2511887d99fa8c308d0f991214550f34bec1faf3290139977a584d8ceb5e897-305,13010269,305,0x85fe868adf7f5950b052469075556fb207e5372d,0x83a418804de133fbec94b60acfeb1228a6bab9f8,2799613233677006971102,stakeDelegatedWithdrawns
0x5d28387e8ca003634757536ecdce0ad83ebf1c84938207166ade756d1dadb918-320,13010336,320,0x79c813f6b6a84b4ab7258db617612f06bde25498,0x1f462dc7c2f9def79fa130014982e3185214c130,81678591561063032201134,stakeDelegatedWithdrawns
0xf2048613c766dc4e6da2c3d6ebbc584083f5e6f0ec9cb44662f016e07bba462c-355,13010896,355,0x5ea935a6164629dd9c0f7f1e3b79c2d041108e26,0x0a96716769de80184cbdbde96cd1b62a53bb4e8a,7736831542348787978422,stakeDelegatedWithdrawns
0xe1e4bb13c5690740973341864f73438a4bfce6b9f64e07058f373399f0bcd60a-393,13011504,393,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,0x628d1f58c1d91894991cb65e01265613d62c0dd9,6250000000000000002865,stakeDelegatedWithdrawns
0x77d8d117e6e5ba3165a08608a28e76d67092048dc86fe3e187bf5cf3f3712935-1097,13012140,1097,0x4437e367cc68d87675148a9e4a1f052f0359c880,0x01f6ffc227b5a0a45aa8268cdb6c515db565c4bf,1031524899844767067555,stakeDelegatedWithdrawns
0xfcbfe45331456050e668681b3345902a5081f74ead2717d2e3dc2bc21c679774-397,13012190,397,0x85fe868adf7f5950b052469075556fb207e5372d,0x3d1e0bed6487930116fbf4e9c3bda321cc836abb,201515990678458430545,stakeDelegatedWithdrawns
0x4cae8d1761561ffde540f3c0f0b218e9e5026b381b1a53993c44c458f086c5ba-57,13012196,57,0x643c5f5223ba68e06766b194b274c4d90dd42dc8,0x3d1e0bed6487930116fbf4e9c3bda321cc836abb,1492500031183300000000,stakeDelegatedWithdrawns
0x29edf381e67b83afe903537bc31b1bf0d65b499c454f78d1ecde206d10d1b654-22,13012208,22,0x6125ea331851367716bee301ecde7f38a7e429e7,0x3d1e0bed6487930116fbf4e9c3bda321cc836abb,248751556121834804328,stakeDelegatedWithdrawns
0x1737ea472e171b544bedd9d3268114d443db3df4946914a8b88b9b445362e3e3-80,13012672,80,0x720a98087160bfdb282f695abe6f9ac966b03d43,0x56d1fda0a4c6c0a8caa4b2ed27a94a808a86b3d7,81506040884334866397118,stakeDelegatedWithdrawns
0xd5587185ffe3d44f15d733dd97c241265d46dea903c88255a846437e49571083-404,13012737,404,0x5a8904be09625965d9aec4bffd30d853438a053e,0xf23fda58c7b927abae31a3c83809424f748c5b88,1836220508248916000676,stakeDelegatedWithdrawns
0x9639f88e3a094ab0d485c3e0b473c4a35a03df6b62727d168bd94a8e470986a7-324,13014210,324,0xce9df315e4780fed7894bcbcbfe2e34f0f804df1,0xb384087b00f36f340ab9af0b5f311b629e3035ea,13868356677268977500741,stakeDelegatedWithdrawns
