id,blockNumber,logIndex,eventTime,indexer,delegator,tokens,shares,until,type
0xd6b091ca264e2900021f69400784b9e691244905e00f7d4d3e2db3c485e82acf-371,13127743,371,1630337754,0xbb784d9b398271b7a64f975bebde869409691915,0xb3984382789c3a265e23f68bc90dd382230ae3e2,10844651103944900002070,4582389726771860395688,280,stakeDelegatedLockeds
0x6a855fa96f1b26e31888c05e4d777e7baa15f97078e4cdda0af2da2f828ffdd7-292,13129661,292,1630363535,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x397e4922317be1aa463de4233b676d1eadf40765,9510140441811149394096,8598813335111503275419,281,stakeDelegatedLockeds
0x6f838c6d67ac54787dfdea77b9f8ec3ed7cd346757ae727be55e6a9f563f25d0-173,13130082,173,1630369546,0x5a8904be09625965d9aec4bffd30d853438a053e,0x0e2ed73f9c1409e2b36fe6c46e60d4557b7c2ac0,20228081773655909763244,18598971071753458877415,281,stakeDelegatedLockeds
0xb9375d5138dd9921568040ebdb12afd2a5523492c455e3b1a7b9375ae46fda3d-29,13130630,29,1630376783,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,0x7bd14679641b496ba1e4a2586e18575947cb2bb3,30765894199487896602165,28251980664977591666517,281,stakeDelegatedLockeds
0x98dd17473aae10d40440e6c281a8559bfec08e087fd2d333dda210e20a59ec0b-297,13132802,297,1630405887,0x85fe868adf7f5950b052469075556fb207e5372d,0xd4a3fbd2434c9c1e846a039be62050a08b9fe783,5153159327426534868278,4945043269599842784699,281,stakeDelegatedLockeds
0xc1afd41ec44b3e0ca60ceb96c52298972122cde6b97dbb295a3972a0dc0ce4ba-127,13133627,127,1630417108,0x5a8904be09625965d9aec4bffd30d853438a053e,0x69fbaec4131cb64e9828f7e6fdb7e31fa4a9e230,2143640157612926474473,1970997632193477885780,281,stakeDelegatedLockeds
0x62b87d405e3ef001777e89b9878833443e52dfceb2babf29755ea90e23ff702a-144,13133994,144,1630422315,0x5a8904be09625965d9aec4bffd30d853438a053e,0x00f30da49c6dde3364ac802b9b318a872996995b,636837263254301405512675,585548247689364679255701,281,stakeDelegatedLockeds
0x26a62346087b8c9045ca6e0b35c0da07e36ee6eeaec87f6f1f306c60dc2c2934-280,13134052,280,1630423022,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x00f30da49c6dde3364ac802b9b318a872996995b,376561195439233009904748,347437798419349457653578,281,stakeDelegatedLockeds
0xe27e849498298d2ac7eb4d3ca4f55d2ad2abc90175cba8e912cca680632a0279-221,13134301,221,1630426155,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0xd079f00944d783f631d1af4d6c37039c4479352d,16887775732006056995552,16315730227603451170955,281,stakeDelegatedLockeds
0xd98b2dca9d7ac2aa6b402b6aad540782cf007ca1251c5b3a1a7732079fbda134-128,13134816,128,1630432841,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,0x981646d506c5de29f74c8c2daf320ead57cfc758,899848315481752418351,824393271938167754605,281,stakeDelegatedLockeds
