         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.001    0.000 blocks.py:1811(convert)
       69    0.000    0.000    0.001    0.000 numeric.py:289(full)
       26    0.000    0.000    0.001    0.000 missing.py:61(isna)
       26    0.000    0.000    0.001    0.000 missing.py:144(_isna)
      534    0.001    0.000    0.001    0.000 abstract_agent.py:9(__init__)
        1    0.000    0.000    0.001    0.001 concat.py:90(concat)
      376    0.001    0.000    0.001    0.000 delegator.py:44(set_undelegated_tokens)
       24    0.000    0.000    0.001    0.000 missing.py:221(_isna_array)
       24    0.001    0.000    0.001    0.000 managers.py:1015(iset)
       69    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 multiprocessing.py:8(<module>)
     16/9    0.000    0.000    0.001    0.000 base.py:375(__new__)
       61    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       50    0.000    0.000    0.001    0.000 series.py:315(__init__)
        1    0.000    0.000    0.001    0.001 execution.py:4(print_exec_info)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
       23    0.000    0.000    0.001    0.000 base.py:6280(ensure_index)
       32    0.000    0.000    0.001    0.000 blocks.py:1916(new_block)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       24    0.000    0.000    0.001    0.000 common.py:532(is_string_dtype)
        2    0.000    0.000    0.001    0.000 depreciationHandler.py:17(sanitize_partial_state_updates)
      325    0.001    0.000    0.001    0.000 delegator.py:32(getWithdrawableDelegatedTokens)
        1    0.000    0.000    0.001    0.001 frame.py:3584(__setitem__)
        1    0.000    0.000    0.001    0.001 frame.py:3480(_getitem_bool_array)
       44    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     1529    0.001    0.000    0.001    0.000 heuristic_agent.py:23(updateBeliefs)
        1    0.000    0.000    0.001    0.001 generic.py:3617(_take_with_is_copy)
        1    0.000    0.000    0.001    0.001 simulation.py:1(<module>)
     1529    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
